town,zip,sold_price,units,price_per_unit,sqft,price_per_sqft,gross_annual_income,grm,noi_reported,cap_rate_pct,sold_date,days_on_market,year_built,annual_taxes,sale_to_list_pct,unit_mix
Fall River,2723,269900.0,2.0,134950.0,1831,147.41,,,,,2006-01-01,78,1900,1300.0,103.85,"1x 2BR, 1x 3BR"
Somerville,2144,732000.0,2.0,366000.0,3101,236.05,,,,,2006-01-01,43,1910,5874.88,98.93,"1x 3BR, 1x 4BR"
Lynn,1904,525000.0,3.0,175000.0,4626,113.49,61800.0,8.5,,,2006-01-02,11,1920,4593.0,99.24,"1x 0BR, 3x 3BR"
Chicopee,1020,120000.0,2.0,60000.0,1128,106.38,,,,,2006-01-02,14,1900,1811.0,85.78,"1x 1BR, 1x 2BR"
Middleboro,2346,382000.0,2.0,191000.0,2554,149.57,10800.0,35.37,10800.0,2.83,2006-01-03,3,1880,3109.61,97.97,"1x 2BR, 1x 3BR"
Reading,1867,500000.0,2.0,250000.0,2235,223.71,,,,,2006-01-03,61,1900,4785.0,95.24,"1x 1BR, 1x 2BR"
Boston,2126,540000.0,3.0,180000.0,3500,154.29,52200.0,10.34,,,2006-01-03,88,1905,3847.78,98.2,3x 3BR
Wilbraham,1095,205000.0,2.0,102500.0,3648,56.2,8100.0,25.31,8100.0,3.95,2006-01-03,13,1900,3483.0,98.09,"1x 3BR, 1x 4BR"
Melrose,2176,460000.0,2.0,230000.0,2487,184.96,13200.0,34.85,13200.0,2.87,2006-01-03,51,1925,4253.4,85.34,2x 3BR
Boston,2128,455000.0,3.0,151666.67,3105,146.54,1020.0,446.08,1020.0,0.22,2006-01-03,34,1900,4833.87,94.81,"1x 2BR, 2x 3BR"
Salem,1970,470000.0,4.0,117500.0,3577,131.4,40800.0,11.52,,,2006-01-03,16,1850,4246.0,94.02,"2x 1BR, 2x 2BR"
Worcester,1604,370000.0,3.0,123333.33,4220,87.68,18000.0,20.56,,,2006-01-03,49,1920,3663.0,94.9,"1x 0BR, 3x 3BR"
Everett,2149,430000.0,2.0,215000.0,1900,226.32,,,,,2006-01-03,17,1900,2874.0,103.61,2x 2BR
Boston,2122,435000.0,2.0,217500.0,2386,182.31,12300.0,35.37,12300.0,2.83,2006-01-03,48,1900,2934.0,101.28,"1x 1BR, 1x 4BR"
Worcester,1603,255000.0,3.0,85000.0,2340,108.97,28500.0,8.95,,,2006-01-03,18,1890,2711.13,98.11,"2x 2BR, 1x 3BR"
New Bedford,2745,205000.0,2.0,102500.0,2538,80.77,,,,,2006-01-03,9,1923,2013.63,97.67,2x 3BR
Holyoke,1040,235000.0,3.0,78333.33,2728,86.14,17100.0,13.74,17100.0,7.28,2006-01-03,12,1890,2128.0,97.96,3x 2BR
Boston,2116,3100000.0,9.0,344444.44,7200,430.56,28800.0,107.64,28800.0,0.93,2006-01-03,61,1880,9491.0,79.49,2x 1BR
Boston,2131,482000.0,2.0,241000.0,1715,281.05,,,,,2006-01-03,62,1950,3313.42,98.39,2x 2BR
Boston,2126,537000.0,3.0,179000.0,4328,124.08,,,,,2006-01-03,81,1905,3798.0,99.46,3x 2BR
Gardner,1440,175000.0,3.0,58333.33,3680,47.55,,,,,2006-01-03,94,1900,1838.99,97.28,"1x 1BR, 2x 2BR"
