town,zip,sold_price,units,price_per_unit,sqft,price_per_sqft,gross_annual_income,grm,noi_reported,cap_rate_pct,sold_date,days_on_market,year_built,annual_taxes,sale_to_list_pct,unit_mix
Quincy,2170,1390000.0,2.0,695000.0,2652,524.13,23976.0,57.97,23976.0,1.72,2025-04-30,37,2024,999.0,92.05,2x 2BR
Boston,2134,1975000.0,2.0,987500.0,3959,498.86,145800.0,13.55,145800.0,7.38,2025-04-30,28,1885,18220.0,96.39,"1x 4BR, 1x 6BR"
Fall River,2721,480000.0,2.0,240000.0,2990,160.54,,,,,2025-04-30,21,1921,4040.0,111.63,"1x 2BR, 1x 3BR"
Boston,2122,955000.0,2.0,477500.0,2250,424.44,,,,,2025-04-30,22,1935,8272.0,109.14,"1x 2BR, 1x 3BR"
Worcester,1604,610000.0,2.0,305000.0,2340,260.68,,,,,2025-04-30,48,1909,5608.0,91.04,2x 2BR
Springfield,1109,345000.0,2.0,172500.0,3423,100.79,46800.0,7.37,46800.0,13.57,2025-04-30,69,1922,4975.0,98.6,"1x 3BR, 1x 5BR"
Somerville,2145,1170000.0,2.0,585000.0,2764,423.3,,,,,2025-04-30,14,1900,9200.0,101.74,"1x 2BR, 1x 4BR"
Fall River,2721,785000.0,3.0,261666.67,3410,230.21,38400.0,20.44,38400.0,4.89,2025-04-30,27,1900,6035.0,103.3,3x 2BR
Belmont,2478,1200000.0,2.0,600000.0,2477,484.46,,,,,2025-04-30,12,1925,13759.0,100.0,2x 2BR
Somerville,2143,1605000.0,3.0,535000.0,3200,501.56,108000.0,14.86,108000.0,6.73,2025-04-30,25,1910,12326.0,97.27,3x 2BR
Worcester,1604,530000.0,2.0,265000.0,1632,324.75,38400.0,13.8,38400.0,7.25,2025-04-30,36,1915,4472.0,96.54,2x 3BR
Chelsea,2150,750000.0,2.0,375000.0,2147,349.32,,,,,2025-04-30,20,1840,6167.0,107.16,"1x 1BR, 1x 4BR"
Haverhill,1830,420000.0,2.0,210000.0,2011,208.85,,,,,2025-04-30,20,1900,4755.0,105.03,"1x 2BR, 1x 3BR"
Lawrence,1841,720000.0,2.0,360000.0,2232,322.58,,,,,2025-04-30,22,1900,4460.0,102.87,"1x 2BR, 1x 4BR"
Northbridge,1588,1650000.0,6.0,275000.0,7581,217.65,149544.0,11.03,114699.0,6.95,2025-04-30,18,1910,10960.0,103.13,5x 4BR
Chicopee,1020,450000.0,3.0,150000.0,3368,133.61,36000.0,12.5,36000.0,8.0,2025-04-30,10,1892,4791.0,112.64,"1x 1BR, 2x 2BR"
Worcester,1604,440000.0,2.0,220000.0,1638,268.62,18000.0,24.44,18000.0,4.09,2025-04-30,41,1905,4162.0,97.8,2x 1BR
Watertown,2472,1000000.0,2.0,500000.0,2938,340.37,,,,,2025-04-30,19,1890,7680.0,100.01,"1x 1BR, 1x 4BR"
Boston,2127,1925000.0,2.0,962500.0,3285,586.0,,,,,2025-04-30,24,1875,19425.79,98.77,2x 3BR
Brockton,2301,945000.0,5.0,189000.0,4016,235.31,105600.0,8.95,91574.0,9.69,2025-04-30,28,1905,9318.0,100.0,"4x 1BR, 1x 2BR"
Haverhill,1832,865000.0,2.0,432500.0,3972,217.77,,,,,2025-04-30,20,1900,7911.0,111.04,"1x 3BR, 1x 4BR"
Somerville,2144,1515000.0,2.0,757500.0,2920,518.84,60000.0,25.25,60000.0,3.96,2025-04-30,14,1920,12509.0,95.28,"1x 2BR, 1x 3BR"
Methuen,1844,655000.0,2.0,327500.0,2508,261.16,16200.0,40.43,16200.0,2.47,2025-04-30,17,1930,8256.0,109.17,2x 2BR
Fall River,2720,500000.0,2.0,250000.0,3243,154.18,,,,,2025-04-30,52,1845,4004.0,100.2,"1x 2BR, 1x 3BR"
Westport,2790,629000.0,4.0,157250.0,3588,175.31,34800.0,18.07,23900.0,3.8,2025-04-30,15,1825,4156.0,104.83,"2x 1BR, 2x 2BR"
Millis,2054,650000.0,2.0,325000.0,2300,282.61,,,,,2025-04-30,24,1850,7801.0,98.63,"1x 1BR, 1x 3BR"
Methuen,1844,760000.0,2.0,380000.0,1940,391.75,48000.0,15.83,48000.0,6.32,2025-04-30,22,1900,6389.0,101.33,"1x 2BR, 1x 4BR"
Lynn,1905,890000.0,2.0,445000.0,1934,460.19,,,,,2025-04-30,26,1920,6808.0,101.14,"1x 1BR, 1x 3BR"
Boston,2135,1550000.0,3.0,516666.67,3492,443.87,106000.0,14.62,86234.0,5.56,2025-04-30,21,1916,13896.0,94.0,3x 3BR
New Bedford,2740,640000.0,2.0,320000.0,2336,273.97,,,,,2025-04-30,24,1921,3493.0,98.46,2x 3BR
Attleboro,2703,550000.0,2.0,275000.0,1892,290.7,,,,,2025-04-30,21,1940,6592.0,100.0,2x 2BR
Boston,2119,945000.0,2.0,472500.0,2756,342.89,79200.0,11.93,79200.0,8.38,2025-04-30,35,1905,9217.0,95.94,"1x 2BR, 1x 4BR"
New Bedford,2744,700000.0,3.0,233333.33,3915,178.8,,,,,2025-04-30,7,1897,5160.0,107.71,3x 4BR
Leominster,1453,882000.0,4.0,220500.0,3720,237.1,,,,,2025-04-30,7,1987,7094.0,100.23,4x 2BR
